date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-10-27 12:00:00;8.0;;0.0;0.0
2017-10-27 12:15:00;7.9;;0.0;0.0
2017-10-27 12:30:00;7.0;;0.0;0.0
2017-10-27 12:45:00;6.9;;0.0;0.0
2017-10-27 13:00:00;7.6;;0.0;0.0
2017-10-27 13:15:00;8.6;;0.0;0.0
2017-10-27 13:30:00;9.5;;0.0;0.0
2017-10-27 13:45:00;10.0;;0.0;0.0
2017-10-27 14:00:00;10.1;;0.0;0.0
2017-10-27 14:15:00;8.1;;0.0;0.0
2017-10-27 14:30:00;10.0;;0.0;0.0
2017-10-27 14:45:00;12.5;;0.0;0.0
2017-10-27 15:00:00;15.2;;0.0;0.0
2017-10-27 15:15:00;15.7;;0.0;0.0
2017-10-27 15:30:00;14.4;;0.0;0.0
2017-10-27 15:45:00;15.3;;0.0;0.0
2017-10-27 16:00:00;14.4;;0.0;0.0
2017-10-27 16:15:00;17.0;;0.0;0.0
2017-10-27 16:30:00;19.7;;0.0;0.0
2017-10-27 16:45:00;18.4;;0.0;0.0
2017-10-27 17:00:00;17.7;;0.0;0.0
2017-10-27 17:15:00;21.5;;0.0;0.0
2017-10-27 17:30:00;24.1;;0.0;0.0
2017-10-27 17:45:00;25.9;;0.0;0.0
2017-10-27 18:00:00;23.3;;0.0;0.0
2017-10-27 18:15:00;24.8;;0.0;0.0
2017-10-27 18:30:00;24.5;;0.0;0.0
2017-10-27 18:45:00;20.5;;0.0;0.0
2017-10-27 19:00:00;19.4;;0.0;0.0
2017-10-27 19:15:00;23.9;;0.0;0.0
2017-10-27 19:30:00;27.4;;0.0;0.0
2017-10-27 19:45:00;24.4;;0.0;0.0
2017-10-27 20:00:00;26.0;;0.0;0.0
2017-10-27 20:15:00;23.6;;0.0;0.0
2017-10-27 20:30:00;21.0;;0.0;0.0
2017-10-27 20:45:00;20.0;;0.0;0.0
2017-10-27 21:00:00;29.0;;0.0;0.0
2017-10-27 21:15:00;41.1;;0.0;0.0
2017-10-27 21:30:00;40.1;;0.0;0.0
2017-10-27 21:45:00;42.7;;0.0;0.0
2017-10-27 22:00:00;39.6;;0.0;0.0
2017-10-27 22:15:00;39.8;;0.0;0.0
2017-10-27 22:30:00;38.2;;1.015;0.0
2017-10-27 22:45:00;38.5;;0.0;0.0
2017-10-27 23:00:00;36.4;;0.0;0.0
2017-10-27 23:15:00;37.5;;0.0;0.0
2017-10-27 23:30:00;36.0;;0.0;0.0
2017-10-27 23:45:00;31.7;;0.0;0.0
2017-10-28 00:00:00;30.9;;0.0;0.0
2017-10-28 00:15:00;30.2;;0.0;0.0
2017-10-28 00:30:00;31.8;;0.0;0.0
2017-10-28 00:45:00;30.2;;0.0;0.0
2017-10-28 01:00:00;30.1;;0.0;0.0
2017-10-28 01:15:00;28.4;;0.0;0.0
2017-10-28 01:30:00;26.4;;0.0;0.0
2017-10-28 01:45:00;25.4;;0.0;0.0
2017-10-28 02:00:00;23.6;;0.0;0.0
2017-10-28 02:15:00;25.1;;0.0;0.0
2017-10-28 02:30:00;26.9;;0.0;0.0
2017-10-28 02:45:00;26.4;;0.0;0.0
2017-10-28 03:00:00;27.4;;0.0;0.0
2017-10-28 03:15:00;29.5;;0.0;0.0
2017-10-28 03:30:00;29.1;;0.0;0.0
2017-10-28 03:45:00;28.7;;0.0;0.0
2017-10-28 04:00:00;28.1;;0.0;0.0
2017-10-28 04:15:00;29.4;;0.0;0.0
2017-10-28 04:30:00;29.5;;0.0;0.0
2017-10-28 04:45:00;27.4;;0.0;0.0
2017-10-28 05:00:00;27.0;;0.0;0.0
2017-10-28 05:15:00;26.4;;0.0;0.0
2017-10-28 05:30:00;25.3;;0.0;0.0
2017-10-28 05:45:00;24.7;;0.0;0.0
2017-10-28 06:00:00;24.0;;0.0;0.0
2017-10-28 06:15:00;22.6;;0.0;0.0
2017-10-28 06:30:00;23.1;;0.0;0.0
2017-10-28 06:45:00;22.4;;0.0;0.0
2017-10-28 07:00:00;22.7;;0.0;0.0
2017-10-28 07:15:00;22.0;;0.0;0.0
2017-10-28 07:30:00;21.7;;0.0;0.0
2017-10-28 07:45:00;21.5;;0.0;0.0
2017-10-28 08:00:00;23.1;;0.0;0.0
2017-10-28 08:15:00;29.2;;0.0;0.0
2017-10-28 08:30:00;35.0;;0.0;0.0
2017-10-28 08:45:00;33.3;;0.0;0.0
2017-10-28 09:00:00;33.6;;0.0;0.0
2017-10-28 09:15:00;21.3;;0.0;0.0
2017-10-28 09:30:00;12.5;;0.0;0.0
2017-10-28 09:45:00;11.0;;0.0;0.0
2017-10-28 10:00:00;9.4;;0.0;0.0
2017-10-28 10:15:00;8.9;;0.0;0.0
2017-10-28 10:30:00;8.5;;0.0;0.0
2017-10-28 10:45:00;7.5;;0.0;0.0
2017-10-28 11:00:00;8.1;;0.0;0.0
2017-10-28 11:15:00;7.9;;0.0;0.0
2017-10-28 11:30:00;7.4;;0.0;0.0
2017-10-28 11:45:00;7.7;;0.0;0.0
2017-10-28 12:00:00;7.7;;0.0;0.0
2017-10-28 12:15:00;7.4;;0.0;0.0
2017-10-28 12:30:00;8.1;;0.0;0.0
2017-10-28 12:45:00;9.7;;0.0;0.0
2017-10-28 13:00:00;8.8;;0.0;0.0
2017-10-28 13:15:00;9.4;;0.0;0.0
2017-10-28 13:30:00;6.9;;0.0;0.0
2017-10-28 13:45:00;7.5;;0.0;0.0
2017-10-28 14:00:00;7.4;;0.0;0.0
2017-10-28 14:15:00;10.9;;0.0;0.0
2017-10-28 14:30:00;12.4;;0.0;0.0
2017-10-28 14:45:00;15.3;;0.0;0.0
2017-10-28 15:00:00;8.1;;0.0;0.0
2017-10-28 15:15:00;4.1;;0.0;0.0
2017-10-28 15:30:00;5.2;;0.0;0.0
2017-10-28 15:45:00;7.0;;0.0;0.0
2017-10-28 16:00:00;8.0;;0.0;0.0
2017-10-28 16:15:00;9.9;;0.0;0.0
2017-10-28 16:30:00;10.0;;0.0;0.0
2017-10-28 16:45:00;8.6;;0.0;0.0
2017-10-28 17:00:00;8.3;;0.0;0.0
2017-10-28 17:15:00;8.1;;0.0;0.0
2017-10-28 17:30:00;9.7;;0.0;0.0
2017-10-28 17:45:00;8.8;;0.0;0.0
2017-10-28 18:00:00;11.9;;0.0;0.0
2017-10-28 18:15:00;19.5;;0.0;0.0
2017-10-28 18:30:00;12.1;;0.0;0.0
2017-10-28 18:45:00;8.2;;0.0;0.0
2017-10-28 19:00:00;8.3;;0.0;0.0
2017-10-28 19:15:00;8.1;;0.0;0.0
2017-10-28 19:30:00;8.2;;0.0;0.0
2017-10-28 19:45:00;7.6;;0.0;0.0
2017-10-28 20:00:00;6.9;;0.0;0.0
2017-10-28 20:15:00;6.7;;0.0;0.0
2017-10-28 20:30:00;6.3;;0.0;0.0
2017-10-28 20:45:00;9.3;;0.0;0.0
2017-10-28 21:00:00;6.6;;0.0;0.0
2017-10-28 21:15:00;6.7;;0.0;0.0
2017-10-28 21:30:00;7.4;;0.0;0.0
2017-10-28 21:45:00;7.2;;0.0;0.0
2017-10-28 22:00:00;7.8;;0.0;0.0
2017-10-28 22:15:00;6.7;;0.0;0.0
2017-10-28 22:30:00;6.0;;0.0;0.0
2017-10-28 22:45:00;4.8;;0.0;0.0
2017-10-28 23:00:00;4.3;;0.0;0.0
2017-10-28 23:15:00;4.1;;0.0;0.0
2017-10-28 23:30:00;4.7;;0.0;0.0
2017-10-28 23:45:00;4.9;;0.0;0.0
2017-10-29 00:00:00;;;0.0;0.0
2017-10-29 00:15:00;;;;
2017-10-29 02:15:00;14.7;;;
2017-10-29 02:15:00;14.7;;0.0;0.0
2017-10-29 02:30:00;6.4;;;
2017-10-29 02:30:00;6.4;;0.0;0.0
2017-10-29 02:45:00;3.3;;;
2017-10-29 02:45:00;3.3;;0.0;0.0
2017-10-29 03:00:00;9.5;;0.0;0.0
2017-10-29 03:15:00;15.4;;0.0;0.0
2017-10-29 03:30:00;22.3;;0.0;0.0
2017-10-29 03:45:00;9.8;;0.0;0.0
2017-10-29 04:00:00;4.5;;0.0;0.0
2017-10-29 04:15:00;13.0;;0.0;0.0
2017-10-29 04:30:00;4.9;;0.0;0.0
2017-10-29 04:45:00;1.6;;0.0;0.0
2017-10-29 05:00:00;1.2;;0.0;0.0
2017-10-29 05:15:00;4.2;;0.0;0.0
2017-10-29 05:30:00;10.6;;0.0;0.0
2017-10-29 05:45:00;12.8;;0.0;0.0
2017-10-29 06:00:00;17.7;;0.0;0.0
2017-10-29 06:15:00;15.9;;0.0;0.0
2017-10-29 06:30:00;22.1;;0.0;0.0
2017-10-29 06:45:00;12.0;;0.0;0.0
2017-10-29 07:00:00;7.1;;0.0;0.0
2017-10-29 07:15:00;4.1;;0.0;0.0
2017-10-29 07:30:00;4.9;;0.0;0.0
2017-10-29 07:45:00;13.2;;0.0;0.0
2017-10-29 08:00:00;10.4;;0.0;0.0
2017-10-29 08:15:00;8.0;;0.0;0.0
2017-10-29 08:30:00;11.3;;0.0;0.0
2017-10-29 08:45:00;11.4;;0.0;0.0
2017-10-29 09:00:00;8.5;;0.0;0.0
2017-10-29 09:15:00;10.1;;0.0;0.0
2017-10-29 09:30:00;11.1;;0.0;0.0
2017-10-29 09:45:00;15.4;;0.0;0.0
2017-10-29 10:00:00;11.1;;0.0;0.0
2017-10-29 10:15:00;4.3;;0.0;0.0
2017-10-29 10:30:00;5.9;;0.0;0.0
2017-10-29 10:45:00;5.7;;0.0;0.0
2017-10-29 11:00:00;5.0;;0.0;0.0
2017-10-29 11:15:00;4.6;;0.0;0.0
2017-10-29 11:30:00;4.8;;0.0;0.0
2017-10-29 11:45:00;4.5;;0.0;0.0
2017-10-29 12:00:00;4.5;;0.0;0.0
2017-10-29 12:15:00;5.7;;0.0;0.0
2017-10-29 12:30:00;6.8;;0.0;0.0
2017-10-29 12:45:00;8.3;;0.0;0.0
2017-10-29 13:00:00;5.6;;0.0;0.0
2017-10-29 13:15:00;6.7;;0.0;0.0
2017-10-29 13:30:00;8.0;;0.0;0.0
2017-10-29 13:45:00;7.1;;0.0;0.0
2017-10-29 14:00:00;9.0;;0.0;0.0
2017-10-29 14:15:00;7.2;;0.0;0.0
